1.1.	толшорлэн нырысетӥ нуналыз
27.5.	куартолэзьлэн кызь сизьыметӥ нуналыз

28.5.	куартолэзьлэн кызь тямысэтӥ нуналыз

29.5.	куартолэзьлэн кызь укмысэтӥ нуналыз

30.5.	куартолэзьлэн куамынетӥ нуналыз

31.5.	куартолэзьлэн куамын одӥгетӥ нуналыз

1.6.	инвожолэн нырысетӥ нуналыз

2.6.	инвожолэн кыкетӥ нуналыз

3.6.	инвожолэн куинетӥ нуналыз

4.6.	инвожолэн ньылетӥ нуналыз

5.6.	инвожолэн витетэӥ нуналыз

6.6.	инвожолэн куатетэӥ нуналыз

7.6.	инвожолэн сизьыметэӥ нуналыз

8.6.	инвожолэн тямысэтӥ нуналыз

9.6.	инвожолэн укмысэтӥ нуналыз

10.6.	инвожолэн дасэтэӥ нуналыз

11.6.	инвожолэн дас одӥгетӥ нуналыз

12.6.	инвожолэн дас кыкетӥ нуналыз

13.6.	инвожолэн дас куинетӥ нуналыз

14.6.	инвожолэн дас ньылетӥ нуналыз

15.6.	инвожолэн дас витетӥ нуналыз

16.6.	инвожолэн дас куатетӥ нуналыз

17.6.	инвожолэн дас сизьыметӥ нуналыз

18.6.	инвожолэн дас тямысэтӥ нуналыз

19.6.	инвожолэн дас укмысэтӥ нуналыз

20.6.	инвожолэн кызетӥ нуналыз

21.6.	инвожолэн кызь одИгетӥ нуналыз

22.6.	инвожолэн кызь кыкетӥ нуналыз

23.6.	инвожолэн кызь куинетӥ нуналыз

24.6.	инвожолэн кызь ньылетӥ нуналыз

25.6.	инвожолэн кызь витетӥ нуналыз

26.6.	инвожолэн кызь куатетӥ нуналыз

27.6.	инвожолэн кызь сизьыметӥ нуналыз

28.6.	инвожолэн кызь тямысэтӥ нуналыз

29.6.	инвожолэн кызь укмысэтӥ нуналыз

30.6.	инвожолэн куамынетӥ нуналыз

1.7.	пӧсьтолэзьлэн нырысетӥ нуналыз

2.7.	пӧсьтолэзьлэн кыкетӥ нуналыз

3.7.	пӧсьтолэзьлэн куинетӥ нуналыз

4.7.	пӧсьтолэзьлэн ньылетӥ нуналыз

5.7.	пӧсьтолэзьлэн витетэӥ нуналыз

6.7.	пӧсьтолэзьлэн куатетэӥ нуналыз

7.7.	пӧсьтолэзьлэн сизьыметэӥ нуналыз

8.7.	пӧсьтолэзьлэн тямысэтӥ нуналыз

9.7.	пӧсьтолэзьлэн укмысэтӥ нуналыз

10.7.	пӧсьтолэзьлэн дасэтэӥ нуналыз

11.7.	пӧсьтолэзьлэн дас одӥгетӥ нуналыз

12.7.	пӧсьтолэзьлэн дас кыкетӥ нуналыз

13.7.	пӧсьтолэзьлэн дас куинетӥ нуналыз

14.7.	пӧсьтолэзьлэн дас ньылетӥ нуналыз

15.7.	пӧсьтолэзьлэн дас витетӥ нуналыз

16.7.	пӧсьтолэзьлэн дас куатетӥ нуналыз

17.7.	пӧсьтолэзьлэн дас сизьыметӥ нуналыз

18.7.	пӧсьтолэзьлэн дас тямысэтӥ нуналыз

19.7.	пӧсьтолэзьлэн дас укмысэтӥ нуналыз

20.7.	пӧсьтолэзьлэн кызетӥ нуналыз

21.7.	пӧсьтолэзьлэн кызь одИгетӥ нуналыз

22.7.	пӧсьтолэзьлэн кызь кыкетӥ нуналыз

23.7.	пӧсьтолэзьлэн кызь куинетӥ нуналыз

24.7.	пӧсьтолэзьлэн кызь ньылетӥ нуналыз

25.7.	пӧсьтолэзьлэн кызь витетӥ нуналыз

26.7.	пӧсьтолэзьлэн кызь куатетӥ нуналыз

27.7.	пӧсьтолэзьлэн кызь сизьыметӥ нуналыз

28.7.	пӧсьтолэзьлэн кызь тямысэтӥ нуналыз

