lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
eräle,eraldi,erikseen,separate,sierra,atskilt,avskild,atskilt_DEU,A,ISSUE_A,https://synaq.org/priv/heli/ev/0001b-d-01029.mp3,,,
esiqeränis,eriti,erittäin,especially,hui,svært,på förhand,svært_DEU,Adv,DIV_ADV,https://synaq.org/priv/heli/ev/0001r-02193.mp3,,,
essümä,eksima,eksyä,get lost,láhppot,gå seg vill,gå vilse,sich verirren,V,EXPOSURE_V,https://synaq.org/priv/heli/ev/0001b-d-01004.mp3,,,
esä,isa,isä,father,áhčči,far,far,Vater,N,FAMILY,https://synaq.org/priv/heli/ev/0001i-00746.mp3,,,
ette kaema,ette vaatama,varoa,take care,váruhit,passe seg,akta sig,auf sich aufpassen,V,EXPERIENCE_V,,,,
festivaal',festival,festivaali,festival,festivála,festival,festival,Festival,N,ARRANGEMENT,,,,
film',film,elokuva,film,filbma,film,film,film_DEU,N,SHOW,https://synaq.org/priv/heli/ev/0001b-d-02049.mp3,,,
firma,firma,yritys,company,fitnodat,bedrift,firma,bedrift_DEU,N,JOB,https://synaq.org/priv/heli/ev/0001b-d-01910.mp3,,,
friikardohkaq,friikartulid,ranskanperunat,French fries,ranskanperunat_SME,pommes frites,pommes frites,Pommes frites,N,FOOD_DISH_PL,https://synaq.org/priv/heli/ev/0001b-d-02183.mp3,,,
granaat’upin,granaatõun,granaattiomena,pomegranate,granaattiomena_SME,granateple,granatäpple,Granatapfel,N,FOOD_DISH,FOOD_GROCERY_PL,https://synaq.org/priv/heli/ev/0001b-d-02342.mp3,,
haav,haav,haava,wound,hávvi,sår,sår,sår_DEU,N,ILLNESS,https://synaq.org/priv/heli/ev/0001h-00001.mp3,,,
haigõ,haige,sairas,sick,buozas,syk,sjuk,syk_DEU,A,BODY_A,https://synaq.org/priv/heli/ev/0001h-00098.mp3,,,
haigõmaja,haigla,sairaala,hospital,buohcceviessu,sykehus,sjukhus,sykehus_DEU,N,CITY,https://synaq.org/priv/heli/ev/0001h-00105.mp3,,,
hain,hein,heinä,hay,suoidni,gress,gras,gress_DEU,N,PLANT,https://synaq.org/priv/heli/ev/0001h-00675.mp3,,,
hainakuu,juuli,heinäkuu,July,suoidnemánnu,juli,juli,juli_DEU,N,TIME_POINT_LOC,https://synaq.org/priv/heli/ev/0001j-00735.mp3,,,
hall',hall,harmaa,grey,ránis,grå,grå,grå_DEU,A,COLOUR,https://synaq.org/priv/heli/ev/0001h-00287.mp3,,,
halu,valu,kipu,pain,bávččas,smerte,smärta,smerte_DEU,N,ILLNESS,https://synaq.org/priv/heli/ev/0001i-00097.mp3,,,
halv,halb,huono,bad,fuotni,dårlig,dålig,dårlig_DEU,A,OBJECT_A,https://synaq.org/priv/heli/ev/0001b-d-00525.mp3,,,
halv,halb,huono,bad,headju,dårlig,dålig,dårlig_DEU,A,BODY_A,https://synaq.org/priv/heli/ev/0001b-d-00525.mp3,,,
halv,halb,huono,bad,neavri,elendig,eländig,elendig_DEU,A,HUM_A,https://synaq.org/priv/heli/ev/0001b-d-00525.mp3,,,
halv,halb,paha,bad,bahá,bisk,ond,bisk_DEU,A,ANIMAL_A,https://synaq.org/priv/heli/ev/0001b-d-00525.mp3,,,
halvastõ,halvasti,huonosti,badly,funet,dårlig,dårlig_SWE,dårlig_DEU,Adv,DIV_ADV,https://synaq.org/priv/heli/ev/0001b-d-00438.mp3,,,
hambaarst',hahmbaarst,hammaslääkäri,dentist,bátnedoavttir,tannlege,tandläkare,tannlege_DEU,N,PROFESSION,,,,
hammas,hammas,hammas,tooth,bátni,tann,tand,tann_DEU,N,BODYPART,https://synaq.org/priv/heli/ev/0001h-00349.mp3,,,
hamõq,särk,paita,shirt,báidi,skjorte,skjorta,skjorte_DEU,N,CLOTHING,https://synaq.org/priv/heli/ev/000100949.mp3,,,
