paita __ N __ n21 __ skjorte __ paita __ shirt __ MJ9 __ CLOTHING
pakka __ N __ n21 __ pakke __ paketti __ package __ MJ9 __ THING, CONTAINER
peili __ N __ n21 __ speil __ peili __ mirror  __ MJ9 __ ROOM_OTHER
peret__ N __ n33t __ familie __ perhe __ family __ MJ11 __ FAMILY
perjantai __ N __ n1 __ fredag __ perjantai __ Friday __ MJ4 __ TIME
persoona __ N __ n22odd __ person __ persoona __ person __ MJ7 __ PEOPLE
piili __ N __ n21 __ bil __ auto __ car __ MJ5 __ VEHICLE
piletti __ N __ n22odd __ billett __ lippu __ ticket __ MJ7 __ THING
pippuri __ N __ n22odd __ pepper __ pippuri __ pepper __ MJ10 __ FOOD_GROCERY


plyysi __ N __ n21 __ bluse __ pusero __ bluse __ MJ8 __ CLOTHING
poika __ N __ n21 __ gutt __ poika __ boy __ MJ3 __ FAMILY
polli __ N __ n21 __ bolle __ pulla __ bun __ MJ9 __ FOOD_DISH
polvi __ N __ n21ie __ kne __ polvi __ knee __ MJ8 __ BODYPART
poro __ N __ n21 __ rein __ poro __ reindeer __ MJ7 __ ANIMAL_OTHER
porstuu __ N __ n23 __ gang __ eteinen __ entré __ MJ10 __ ROOM
poski __ N __ n21ie __ kinn __ poski __ cheek __ MJ9 __ BODYPART
praatti __ N __ n21 __ prat __ keskustelu, puhe __ talk __ MJ14 __ LANGUAGE
praattijoukko __ N __ n21 __ diskusjonsgruppe __ keskusteluryhmä __ discussion group __ MJ14 __PEOPLE
pretta __ N __ n21 __ brett __ tarjotin __ tray __ MJ2 __ KITCHEN
prikku __ N __ n21 __ prikk, flekk __ pilkku, tahra __ prick, stain __ MJ9 __ BODYPART, CLOTHING_OTHER
pryysi __ N __ n21 __ brus __ limsa  __ soft drink __ MJ2 __ DRINK
prööviloma __ N __ n21 __ prøverom __ sovitushuone __ dressing room __ MJ8 __ SHOP
puhuminen __ N __ n42 __ prat __ puhuminen __ talking __ MJ14 __ LANGUAGE, ACTION
pumpulipuhet __ N __ n33t __ tullprat __ pötypuhe __ rubbish __ MJ2 __ LANGUAGE
puoli __ N __ n21ie __ halv, side __ puoli __ half, side __ MJ4 __ TIME-OTHER, ABSTRACT
puola __ N __ n21 __ tyttebær __ puolukka __ cowberry __ MJ12 __ FOOD_OTHER, PLANT
purjolööki __ N __ n21 __ purreløk __ purjosipuli __ leek __ MJ10 __ FOOD_GROCERY
pussi __ N __ n21 __ pose __ pussi __ bag __ MJ9 __ CONTAINER
puteetti __ N __ n22odd __ potet __ peruna __ potato __ MJ10 __ FOOD_GROCERY
putikki __ N __ n22odd __ butikk __ kauppa __ shop __ MJ8 __ SHOP
puuro __ N __ n21 __ grøt __ puuro __ porridge __ MJ14 __FOOD_DISH
pyssi __ N __ n21 __ buss __ bussi __ buss __ MJ3 __ VEHICLE
pyssyjokilainen __ N __ n42 __ børselvværing __ pyssyjokilainen __ a person from Pyssyjoki __ MJ12 __ PEOPLE

päivä __ N __ n21 __ dag __ päivä __ day __ MJ1 __ TIME
pääassii __ N __ n23ii __ hovedsak __ pääasia __ main thing __ MJ10 __ ABSTRACT
päälinen __ N __ n42odd __ fløte __ kerma __ cream __ MJ2 __ FOOD_GROCERY
päälyspiimä __ N __ n21 __ rømme __ hapanmaitotuote __ sour cream __ MJ2 __ FOOD_GROCERY
päälysruoka __ N __ n21 __ dessert __ jälkiruoka __ dessert __ MJ10 __ FOOD_DISH
pää __ N __ n1 __ hode, ende __ pää __ head, end __ MJ8 __ BODYPART
päänalainen __ N __ n42odd __ pute __ tyyny __ pillow __ MJ12 __ ROOM_OTHER
pöllö __ N __ n21 __ ugle __ pöllö __ owl __ MJ12 __ BIRD
pöytä __ N __ n21 __ bord __ pöytä __ table __ MJ2 __ ROOM_OTHER
raita __ N __ n21 __ stripe __ raita __ stripe __ MJ8 __ CLOTHING_OTHER
rakastettu __ N __ nx __ kjæreste __ tyttö-/poikaystävä __ girl-/boyfriend __ MJ13 __ FAMILY
rakkhaus __ N __ n32s __ kjærlighet __ rakkaus __ love __ MJ12 __ FEELING
ranta __ N __ n21 __ strand __ ranta __ strand __ MJ5 __ NATURE_PLACE
rauha __ N __ n21 __ fred __ rauha __ peace __ MJ12 __ ABSTRACT
reisi __ N __ n21ie __ lår __ reisi __ thigh __ MJ9 __ BODYPART
reisu __ N __ n21 __ tur, reise __ retki, matka __ trip, journey __ MJ7 __ TRAVELLING
remu __ N __ n21 __ bråk __ melu __ noice __ MJ7 __ SOUND
restaurantti __ N __ n22 __ restaurant __ ravintola __ restaurant __ MJ7 __ BUILDING
rinta __ N __ n21 __ bryst __ rinta __ breast, chest __ MJ9 __ BODYPART
rinnet __ N __ n33t __ skråning, li __ rinne __ hillside __ MJ5 __ NATURE_PLACE
rommaani __ N __ n22odd __ roman __ romaani __ novel __ MJ1 __ TEXT
ruija __ N __ n21 __ norsk __ norja __ Norwegian language __ MJ13 __ LANGUAGE
ruijalainen __ N __ n42 __ nordmann __ norjalainen __ Norwegian __ MJ13 __ PEOPLE
ruoka __ N __ n21 __ mat __ ruoka __ food __ MJ7 __ FOOD_OTHER
ruuttapiili __ N __ n21 __ rutebil __ vuorolinja-auto __ bus, coach __ MJ14 __ VEHICLE

koko__ N __ n21 __ størrelse __ koko __ size __ MJ8 __ CLOTHING, ABSTRACT
saapas __ N __ n21 __ støvel __ saapas __ boot __ MJ8 __ CLOTHING
saari__ N __ n21 __ øy __ saari __ island __ MJ5 __ NATURE_PLACE
saita __ N __ n21 __ sei __ seiti __ saithe, coalfish __ MJ10 __ FOOD_GROCERY, ANIMAL_SALTFISH
saiti __ N __ n21 __ side __ sivu __ side __ MJ14 __ TEXT_OTHER
seinä __ N __ n21 __ vegg __ seinä __ wall __ MJ11 __ ROOM_PART
servitööri __ N __ n21 __ servitør __ tarjoilija __ waiter, waitress __ MJ13 __ PROFESSION
sika__ N __ n21 __ gris __ sika __ pig __ MJ9 __ ANIMAL_DOM
siljo __ N __ n21 __ gårdsplass __ piha __ yard __ MJ5 __ NATURE_PLACE
silmä __ N __ n21 __ øye __ silmä __ eye __ MJ9 __ BODYPART
sisar __ N __ n32__ søster __ sisar __ sister __ MJ5 __FAMILY
sota __ N __ n21 __ krig __ sota __ war __ MJ12 __ ACTION
soffa __ N __ n21 __ sofa __ sohva __ sofa __ MJ6 __ ROOM_OTHER
sokkeri __ N __ n22odd __ sukker __ sokeri __ sugar __ MJ2 __ FOOD_GROCERY
sotamies __ N __ n31mies __ soldat __ sotilas __ solder __ MJ12 __ PROFESSION



spesiaalikaffi __ N __ n21 __ spesialkaffe __ erikoiskahvi __ special coffee __ MJ2 __ FOOD_GROCERY
spesiaaliputiikki __ N __ n22odd __ spesialbutikk __ erikoisliike __ special shop __ MJ8 __ SHOP
sukka __ N __ n21 __ strømpe __ sukka __ sock __ MJ8 __ CLOTHING
suku __ N __ n21 __ slekt __ suku __ family, relatives __ MJ11 __ FAMILY
sukulaatikakko __ N __ n21 __ sjokoladekake __ suklaakakku __ chocolate cake __ MJ2 __FOOD_DISH
sunnuntai __ N __ n1 __ søndag __ sunnuntai __ Sunday __ MJ14 __ TIME
suola __ N __ n21 __ salt __ suola __ salt __ MJ10 __ FOOD_GROCERY
suu __ N __ n1 __ munn __ suu __ mouth __ MJ9 __ BODYPART


svingi __ N __ n21 __ sving __ sving __ swing __ MJ13 __ ACTION
sykkeli __ N __ n21 __ sykkel __ pyörä __ cycle __ MJ14 __ VEHICLE
syksy __ N __ n21 __ høst __ syksy __ autumn __ MJ1 __ TIME
syntymämerkki __ N __ n21 __ fødselsmerke __ syntymämerkki __ birthmark __ MJ11 __ BODYPART
syyspäivä __ N __ n21 __ høstdag __ syyspäivä __ autumn day __ MJ1 __ TIME
sänky __ N __ n21 __ seng __ sänky __ bed __ MJ5 __ ROOM_OTHER
särmi __ N __ n21 __ skjerm __ valkokangas __ screen __ MJ11 __ THING
säätieđotus __ N __ n21 __ værmelding __ säätiedotus __ weather report __ MJ1 __ TEXT
sölkä __ N __ n21 __ rygg __ selkä __ back __ MJ9 __ BODYPART

T-paita __ N __ n21 __ T-skjorte __ T-paita __ T-shirt __ MJ8 __ CLOTHING
taksi __ N __ n21 __ drosje __ taksi __ taxi __ MJ14 __ VEHICLE
talo __ N __ n21 __ gård, hus __ maatila, maatalo __ farming house __ MJ11 __ BUILDING
talvi __ N __ n21ie __ vinter __ talvi __ winter __ MJ8 __ TIME
talriikki __ N __ n22odd __ tallerk __ lautanen __ plate __ MJ10 __ KITCHEN
tango __ N __ n21 __ tango __ tango __ tango __ MJ13 __ ACTION
tansimusikki __ N __ n22odd __ dansemusikk __ tanssimusiikki __ dance music __ MJ13 __ SOUND
tee __ N __ n1 __ te __ tee __ tea __ MJ2 __ DRINK
tie __ N __ n1 __ vei __ tie __ way __ MJ5 __ ROAD
tiima __ N __ n21 __ time __ tunti __ hour __ MJ4 __ TIME
tiski __ N __ n21 __ disk __ tiski, myyntipöytä __ counter __ MJ2 __ ROOM_OTHER
tomppeli __ N __ n22odd __ dumrian, tosk __ tomppeli __ fool __ MJ11 __PEOPLE
tooki __ N __ n21 __ tog __ juna __ train __ MJ7 __ VEHICLE
tooli __ N __ n21 __ stol __ tuoli __ stool __ MJ10 __ ROOM_OTHER
tosi __ N __ n31si __ sannhet __ tosi __ true __ MJ7 __ ABSTRACT
tröijy __ N __ n21 __ ulltrøye __ villapaita __ pullover __ MJ8 __ CLOTHING
tunturi __ N __ n22odd __ fjell __ tunturi __ mountain __ MJ5 __ NATURE
tuorestai __ N __ n1 __ torsdag __ torstai __ Thursday __ MJ14 __ TIME
tupapöytä __ N __ n21 __ stuebord __ pöytä __ table __ MJ11 __ ROOM_OTHER
tupa __ N __ n21 __ hus, stue __ tupa __ cottage, living room __ MJ10 __ BUILDING, ROOM
tyskäläinen __ N __ n42 __ tysker __ saksalainen __ German __ MJ12 __ PEOPLE
tytär __ N __ n32 __ datter __ tytär __ daughter __ MJ2 __ FAMILY
tyyny __ N __ n21 __ pute __ tyyny __ pillow __ MJ12 __ ROOM_OTHER
tällinki __ N __ n22odd __ stativ __ teline __ rack __ MJ8 __ ROOM_OTHER
täti __ N __ n21 __ tante __ täti __ aunt __ MJ11 __ FAMILY


universiteetti __ N __ n22 __ universitet __ yliopisto __ university __ MJ1 __ SCHOOL
uni __ N __ n21ie __ drøm __ uni __ dream __ MJ12 __ ABSTRACT
vaara __ N __ n21 __ fare __ vaara __ danger __ MJ5 __ NATURE_PLACE
vaatetkauppa __ N __ n21 __ klesbutikk __ vaatekauppa __ clothes shop __ MJ8 __ SHOP
vaatet __ N __ n33t __ klær __ vaate __ cloth __ MJ5 __ CLOTHING
vaatetputiikki __ N __ n22odd __ klesbutikk __ vaatekauppa __ clothes shop __ MJ8 __ SHOP
vaffeli __ N __ n22odd __ vaffel __ vohveli __ waffle __ MJ2 __ FOOD_OTHER
vaimo __ N __ n21 __ kone __ vaimo __ wife __ MJ5 __ FAMILY


vanhapoika __ N __ n21 __ ungkar __ vanhapoika __ bachelor __ MJ11 __ PEOPLE
vanhiimet __ N __ nx __ foreldre __ vanhemmat __ parents __ MJ13 __ FAMILY
vankka __ N __ n21 __ dal __ laakso __ valley __ MJ5 __ NATURE_PLACE
vastaus __ N __ n41 __ svar __ vastaus __ answer __ MJ14 __ ACTION
vatta __ N __ n21 __ mage __ vatsa __ stomach __ MJ9 __ BODYPART
