LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
viini __ N __ n21 __ vin __ viini __ wine __ DRINK __ MJ7 
virta __ N __ n21 __ strøm __ virta __ stream __ NATURE_PLACE __ MJ5 
vuono __ N __ n21 __ fjord __ vuono __ fjord __ NATURE_PLACE __ MJ5 
äiji __ N __ n21 __ bestefar __ ukki, isoisä __ grandfather __ FAMILY __ MJ5 
ämmi __ N __ n21 __ bestemor __ mummi, isoäiti __ grand mother __ FAMILY __ MJ5 
ääni __ N __ n31 __ stemme __ ääni __ voice __ VOICE __ MJ6 
ööli __ N __ n21 __ øl __ olut __ beer __ FOOD_GROCERY __ MJ7 
maanantai __ N __ n1 __ mandag __ maanantai __ Monday __ TIME __ GK1 
tiistai __ N __ n1 __ tirsdag __ tiistai __ Tuesday __ TIME __ GK1 
keskiviikko __ N __ n21 __ onsdag __ keskiviikko __ Wednesday __ TIME __ GK1 
tuorestai __ N __ n1 __ torsdag __ torstai __ Thursday __ TIME __ GK1, MJ14 
perjantai __ N __ n1 __ fredag __ perjantai __ Friday __ TIME __ GK1, MJ4 
lauvantai __ N __ n1 __ lørdag __ lauantai __ Saturday __ TIME __ GK1, MJ7 
sunnuntai __ N __ n1 __ søndag __ sunnuntai __ Sunday __ TIME __ GK1, MJ14 
norjalainen __ N __ n42 __ nordmann __ norjalainen __ Norwegian __ PEOPLE __ GK1 
saamelainen __ N __ n42 __ same __ saamelainen __ Sami __ PEOPLE __ GK1 
ruottalainen __ N __ n42 __ svenske __ ruotsalainen __ Swede __ PEOPLE  __ GK1 
tanskalainen __ N __ n42 __ danske __ tanskalainen __ Dane __ PEOPLE __ GK1 
venäläinen __ N __ n42 __ russer __ venäläinen __ Russian __ PEOPLE __ GK1 
saksalainen __ N __ n42 __ tysker __ saksalainen __ German __ PEOPLE __ GK1 
englantilainen __ N __ n42 __ engeskmann __ englantilainen __ English __ PEOPLE __ GK1 
amerikkalainen __ N __ n42 __ amerikaner __ amerikkalainen __ American __ PEOPLE __ GK1 
ajatella __ V __ v3ele __ tenke __ ajatella __ think __ HUMAN_V __ MJ3 
anttaat __ V __ v2 __ gi __ antaa __ give __ ACTION_V __ MJ2 
assuut __ V __ v2 __ bo __ asua __ live __ ACTION_V __ MJ4 
ehđoittaat __ V __ v2odd __ foreslå __ ehdottaa __ suggest __ VERBAL_V __ MJ1 
haluta __ V __ v43odd __ ha lyst til, ville, ønske __ haluta __ want __ HUMAN_V, AUX_V __ MJ1 
hunteerata __ V __ v43 __ tenke, fundere __ ajatella, miettiä __ think __ HUMAN_V __ MJ2 
huuttaat __ V __ v2 __ rope __ huutaa __ shout __ VERBAL_V __ MJ2 
ei __ V __ vx __ ikke __ ei __ no  __ MJ1
häyttyyt __ V __ v2 __ måtte, være nødt til __ täytyä __ must __ AUX_V __ MJ3 
ihmetellä __ V __ v3ele __ undre __ ihmetellä __ wonder __ VERBAL_V __ MJ1 
istuut __ V __ v2 __ sitte __ istua __ sit __ HUMAN_V __ MJ1 
jaksaat __ V __ v2 __ orke, klare __ jaksaa __ be able to __ AUX_V  __ MJ4 
juoda __ V __ v1 __ drikke __ juoda __ drink __ ACTION_V __ MJ2 
juosta __ V __ v3juosta __ løpe __ juosta __ spring __ MOVEMENT_V __ MJ4 
kattoot __ V __ v2 __ se på __ katsoa __ look at __ ACTION_V __ MJ3 
keritä __ V __ v43odd __ rekke, ha tid __ keritä __ have time __ TIME_V __ MJ4 
kiittäät __ V __ v2 __ takke __ kiittää __ thank __ VERBAL_V __ MJ2 
kirjoittaat __ V __ v2odd __ skrive __ kirjoittaa __ write __ ACTION_V __ MJ1 
kohđatella __ V __ v3ele __ møte, treffe __ kahdata __ meet __ ACTION_V __ MJ3 
kulkkeet __ V __ v2 __ gå, ferdes __ kulkea __ go __ MOVEMENT_V __ MJ3 
kuula __ V __ v3eleshort __ høre __ kuullaa __ hear __ HUMAN_V  __ MJ4 
kyssyyt __ V __ v2 __ spørre __ kysyä __ ask __ VERBAL_V __ MJ1 
käskeet __ V __ v2 __ gi ordre, kalle __ käskeä, kutsua __ command, call __ VERBAL_V __ MJ2 
lukkeet __ V __ v2 __ lese __ lukea __ read __ ACTION_V __ MJ1 
luula __ V __ v3eleshort __ anta, tenke, tro __ luulla __ think, belive, suppose __ HUMAN_V  __ MJ2 
lähteet __ V __ v2 __ dra av gårde, gå __ lähteä __ leave __ MOVEMENT_V __ MJ1 
maksaat __ V __ v2 __ betale __ maksaa __ pay __ ACTION_V __ MJ2 
meinata __ V __ v43odd __ synes, mene, tenke __ meinata __ think __ VERBAL_V __ MJ1 
mennä __ V __ v3lnr __ gå, ferdes __ mennä __ go __ MOVEMENT_V __ MJ1 
muistaat __ V __ v2 __ huske __ muistaa __ remenber __ HUMAN_V  __ MJ1 
muistela __ V __ v3eleodd __ fortelle __ kertoa __ tell __ VERBAL_V __ MJ1 
nouttaat __ V __ v2 __ hente __ noutaa __ fetch __ ACTION_V __ MJ2 
nousta __ V __ vx __ stige, stikke opp, stå opp __ nousta __ rise __ MOVEMENT_V __ MJ1 
nähdä __ V __ v1nahda __ se __ nähdä __ see __ ACTION_V __ MJ2 
näjetellä __ V __ v3ele __ se hverandre __ nähdä toisensa __ see each other __ HUMAN_V  __ MJ3 
näyttäät __ V __ v2 __ vise __ näyttää __ show __ ACTION_V __ MJ2 
ođottaat __ V __ v2odd __ vente __ odottaa __ wait __ HUMAN_V  __ MJ1 
olla __ V __ vx __ være __ olla __ be __ HUMAN_V __ MJ1 
ottaat __ V __ v2 __ ta __ ottaa __ take __ ACTION_V __ MJ2 
paistaat __ V __ v2 __ skinne, steke __ paistaa __ shine, fry __ WEATHER_V, ACTION_V __ MJ1 
panna __ V __ v3lnr __ sette __ panna __ put __ ACTION_V __ MJ1 
passata __ V __ v43odd __ passe, ha tilsyn med, passe på  __ sopia, vahtia __ suit, look after __ ACTION_V __ MJ4 
pittäät __ V __ v2 __ skulle, må, holde, synes, bruke __ pitää, olla jotakin mieltä __ shall, must, hold, think, use __ AUX_V __ MJ3 
praatata __ V __ v43odd __ snakke __ puhua __ talk __ VERBAL_V __ MJ1 
pruukata __ V __ v43odd __ pleie, bruke, ha som vane __ olla tapana __ use to do __ AUX_V __ MJ2 
puhhuut __ V __ v2 __ snakke __ puhua __ talk __ VERBAL_V __ MJ3 
pyyttäät __ V __ v2 __ be om __ pyytää __ ask __ VERBAL_V __ MJ2 
päättäät __ V __ v2 __ bestemme __ päättää __ decide __ HUMAN_V __ MJ4 
rinkata __ V __ v43odd __ ringe __ soittaa __ call __ ACTION_V  __ MJ3 
saađa __ V __ v1 __ få __ saada __ get __ ACTION_V __ MJ1 
saattaat __ V __ v2 __ kunne, makte __ saattaa __ be able __ AUX_V __ MJ4 
sattaat __ V __ v2 __ regne __ sataa __ rain __ WEATHER_V __ MJ1 
sannoot __ V __ v2 __ si __ sanoa __ say __ VERBAL_V __ MJ1 
seissoot __ V __ v2 __ stå __ seisoa __ stand __ HUMAN_V __ MJ1 
soppiit __ V __ v2 __ avtale __ sopia __ agree __ VERBAL_V __ MJ4 
studeerata __ V __ v43 __ studere __ opiskella __ study __ ACTION_V __ MJ1 
syöđä __ V __ v1 __ spise __ syödä __ eat __ ACTION_V __ MJ2 
tarvita __ V __ v4itte __ behøve __ tarvita __ need __ HUMAN_V __ MJ2 
tehđä __ V __ v1tehda __ gjøre __ tehdä __ make __ ACTION_V __ MJ2 
tervetellä __ V __ v3ele __ hilse __ tervehtiä __ greet __ VERBAL_V __ MJ2 
tiettäät __ V __ v2 __ vite __ tietää __ know __ HUMAN_V __ MJ4 
toivoot __ V __ v2 __ håpe __ toivoa __ hope __ HUMAN_V __ MJ1 
tulla __ V __ v3lnr __ komme __ tulla __ come __ MOVEMENT_V __ MJ1 
tuntteet __ V __ v2 __ kjenne __ tuntea __ know __ HUMAN_V __ MJ3 
tuođa __ V __ v1 __ bringe __ tuoda __ bring __ ACTION_V __ MJ2 
tutustuut __ V __ v2odd __ bli kjent __ tutustua __ learn to know __ HUMAN_V __ MJ4 
tykätä __ V __ v43odd __ like __ pitää __ like __ EXPERIENCE_V __ MJ1 
vastata __ V __ v43odd __ svare __ vastata __ answer __ VERBAL_V __ MJ1 
fiini __ A __ a21 __ fin __ hieno __ fine __ HUMAN_A  __ MJ1 
hyvä __ A __ a21 __ god __ hyvä __ good __ SOUP_A  __ MJ1 
hööli __ A __ a21 __ høflig __ kohtelias __ polite __ HUMAN_A __ MJ4 
iloinen __ A __ a42odd __ glad __ iloinen __ cheerful,joyful __ HUMAN_A __ MJ4 
iso __ A __ a21 __ stor __ iso __ large __ HUMAN_A __ MJ1 
jännittäävä __ A __ a22 __ spennede __ jännittävä __ exciting __ EXPERIENCE_A __ MJ1 
kaunis __ A __ a33si __ vakker __ kaunis __ beautiful __ HUMAN_A  __ MJ1 
kommee __ A __ a23 __ staselig, flott, prektig __ komea __ handsome __ HUMAN_A  __ MJ3 
lämmin __ A __ ax __ varm __ lämmin __ warm __ WEATHER_A __ MJ1 
nuori __ A __ a31 __ ung __ nuori __ young __ HUMAN_A  __ MJ2 
paksu __ A __ a21 __ tjukk __ paksu __ fat, thick  __ BODY_A  __ MJ1 
pieni __ A __ a31 __ liten __ pieni __ small __ HUMAN_A  __ MJ1 
pitkä __ A __ a21 __ lang __ pitkä __ long __ HUMAN_A  __ MJ1 
rauhalinen __ A __ a42 __ rolig __ rauhalinen __ peaceful __ HUMAN_A  __ MJ2 
selvä __ A __ a21 __ klar __ selvä __ clear __ ABSTRACT_A __ MJ2 
semmoinen __ A __ a42odd __ den slags, slik __ semmoinen, sellainen __ such __ ABSTRACT_A __ MJ3 
siivo __ A __ a21 __ ordentlig, snill  __ kunnollinen, kiltti __ proper, kind __ HUMAN_A  __ MJ2 
sikkari __ A __ a22 __ sikker __ varma __ sure __ ABSTRACT_A __ MJ2 
soma __ A __ a21 __ artig, morsom, trivelig __ mukava, hauska __ nice __ ABSTRACT_A __ MJ1 
tavalinen __ A __ a42 __ vanlig __ tavallinen __ usual __ ABSTRACT_A __ MJ2 
tromssalainen __ A __ a42 __ tromsøværing __ tromssalainen __ a person from Tromsø __ HUMAN_A __ MJ3 
vaipunu __ A __ ax __ trøtt __ väsynyt __ tired __ HUMAN_A  __ MJ3 
vihainen __ A __ a42odd __ sint __ vihainen __ angry __ HUMAN_A  __ MJ3 
alla __ Po __ x __ under __ alla __ under __ BUILDING_ADV __ MJ2 
kans __ Po __ x __ med __ kanssa __ with __ PEOPLE_ADV __ MJ2 
päälä __ Po __ x __ på, oppe på __ päällä __ on, at __ BUILDING_ADV __ MJ2 
takana __ Po __ x __ bakenfor, bakom, bak __ takana __ back __ BUILDING_ADV __ MJ2 
tykö __ Po __ x __ til __ luo, luokse __ to __ PEOPLE_ADV __ MJ2 
vieressä __ Po __ x __   ved siden av __ vieressä __ beside __ PEOPLE_ADV __ MJ2 
vierheen __ Po __ x __ ved siden av __ viereen __ beside __ PEOPLE_ADV __ MJ2 
yli __ Adv __ x __ over __ yli __ over __ BUILDING_ADV __ MJ4 
ympäri __ Po __ x __  omkring, rundt omkring __ ympäri __ around __ BUILDING_ADV __ MJ1 
aina __ Adv __ x __  alltid, fremdeles, ennå __ aina, edelleen, yhä __ always, still, so far __ TIME_ADV __ MJ1 
alas __ Adv __ x __ ned __ alas __ down __ BUILDING_ADV, NATURE_ADV __ MJ2 
antheeksi __ Adv __ x __ unnskyld, om forlatelse  __ anteeksi __ excuse me __ PEOPLE_ADV __ MJ1 
auki __ Adv __ x __ åpen __ auki __ open __ SHOP_ADV  __ MJ1 
eilen __ Adv __ x __ i går __ eilen __ yesterday __ TIME_ADV, MOVEMENT_ADV __ MJ3 
ennää __ Adv __ x __ mer __ enää __ more __ TIME_ADV, MOVEMENT_ADV __ MJ4 
ensistä __ Adv __ x __ først __ ensiksi __ first __ TIME_ADV, ACTION_ADV __ MJ2 
