LEMMA __ POS __ TYPE __ NOB __ FIN __ ENG __ SEM __ BOOK
kroppi __ N __ n21 __ kropp __ vartalo __ body __ BODYPART __ MJ12 
lehti __ N __ n21ie __ blad __ lehti __ leaf __ PLANT __ MJ12 
lintu __ N __ n21 __ fugl __ lintu __ bird __ BIRD __ MJ12 
maito __ N __ n21 __ melk __ maito __ milk __ DRINK __ MJ2, MJ12 
marja __ N __ n21 __ bær __ marja __ berry __ FOOD_OTHER __ MJ12 
mustikka __ N __ n22oi __ blåbær __ mustikka __ blueberry __ FOOD_BERRY __ MJ12 
nasunaliteetti __ N __ n22 __ nasjonalitet __ kansallisuus __ nationality __ PEOPLE_OTHER __ MJ12 
näkö __ N __ n21 __ lys, syn __ valo, näkö __ light __ ROOM_OTHER __ MJ12 
paati __ N __ n21 __ baderom __ kylpyhuone __ bathroom __ ROOM __ MJ12 
puola __ N __ n21 __ tyttebær __ puolukka __ cowberry __ FOOD_OTHER, PLANT __ MJ12 
pyssyjokilainen __ N __ n42 __ børselvværing __ pyssyjokilainen __ a person from Pyssyjoki __ PEOPLE __ MJ12 
päänalainen __ N __ n42odd __ pute __ tyyny __ pillow __ ROOM_OTHER __ MJ12 
pöllö __ N __ n21 __ ugle __ pöllö __ owl __ BIRD __ MJ12 
rakkhaus __ N __ n32s __ kjærlighet __ rakkaus __ love __ FEELING __ MJ12 
rauha __ N __ n21 __ fred __ rauha __ peace __ ABSTRACT __ MJ12 
sota __ N __ n21 __ krig __ sota __ war __ ACTION __ MJ12 
sotamies __ N __ n31mies __ soldat __ sotilas __ solder __ PROFESSION __ MJ12 
tyskäläinen __ N __ n42 __ tysker __ saksalainen __ German __ PEOPLE __ MJ12 
tyyny __ N __ n21 __ pute __ tyyny __ pillow __ ROOM_OTHER __ MJ12 
uni __ N __ n31 __ drøm __ uni __ dream __ ABSTRACT __ MJ12 
viholinen __ N __ n42 __ fiende __ vihollinen __ enimy __ PEOPLE __ MJ12 
yö __ N __ n1 __ natt __ yö __ night __ TIME __ MJ12 
yöpaita __ N __ n21 __ nattdrakt __ yöpaita __ onion __ CLOTHING __ MJ12 
yöpöytä __ N __ n21 __ nattbord __ yöpöytä __ night table __ CLOTHING __ MJ12 
avvain __ N __ n32m __ nøkkel __ avain __ key __ TOOL __ MJ13 
englanti __ N __ n21 __ engelsk __ englanti __ English language __ LANGUAGE __ GK1, MJ13 
isovanhiimet __ N __ nx __ besteforeldre __ isovanhemmat __ grand parents __ FAMILY __ MJ13 
kalafaprikki __ N __ n22odd __ fiskefabrikk __ kalatehdas __ fish factory __ BUILDING __ MJ13 
kansankorkkeekoulu __ N __ n21 __ folkehøyskole __ kansankorkeakoulu __ folk university college __ SCHOOL __ MJ13 
kulta __ N __ n21 __ kjære __ kulta __ darling __ FAMILY __ MJ13 
kumppani __ N __ n22odd __ kamerat __ kumppani __ friend __ FAMILY __ MJ13 
laattii __ N __ n23ii __ gulv __ lattia __ floor __ ROOM_PART __ MJ13 
maailma __ N __ n21 __ verden __ maailma __ world __ NATURE __ MJ13 
mailma __ N __ n21 __ verden __ maailma __ world __ NATURE __ MJ13 
musikki __ N __ n22odd __ musikk __ musiikki __ music __ SOUND  __ MJ13 
norja __ N __ n21 __ norsk __ norja __ Norwegian language __ LANGUAGE __ GK1, MJ13 
opetus __ N __ n41 __ undervisning __ opetus __ teaching __ EDUCATION __ MJ13 
orkesteri __ N __ n22 __ orkester __ orkesteri __ orchestra __ SOUND __ MJ13 
rakastettu __ N __ nx __ kjæreste __ tyttö-/poikaystävä __ girl-/boyfriend __ FAMILY __ MJ13 
ruija __ N __ n21 __ norsk __ norja __ Norwegian language __ LANGUAGE __ GK1, MJ13 
ruijalainen __ N __ n42 __ nordmann __ norjalainen __ Norwegian __ PEOPLE __ GK1, MJ13 
ruotti __ N __ n21 __ svensk __ ruotsi __ Swedish language __ LANGUAGE __ GK1, MJ13 
saame __ N __ n21 __ samisk __ saame __ Sami language __ LANGUAGE __ GK1, MJ13 
saksa __ N __ n21 __ tysk __ saksa __ German language __ LANGUAGE __ GK1, MJ13 
servitööri __ N __ n21 __ servitør __ tarjoilija __ waiter, waitress __ PROFESSION __ MJ13 
svingi __ N __ n21 __ sving __ sving __ swing __ ACTION __ MJ13 
tango __ N __ n21 __ tango __ tango __ tango __ ACTION __ MJ13 
tansimusikki __ N __ n22odd __ dansemusikk __ tanssimusiikki __ dance music __ SOUND __ MJ13 
tanska __ N __ n21 __ dansk __ tanska __ Danish language __ LANGUAGE __ GK1, MJ13 
vanhiimet __ N __ nx __ foreldre __ vanhemmat __ parents __ FAMILY __ MJ13 
venäjä __ N __ n21 __ russisk __ venäjä __ Russian language __ LANGUAGE __ GK1, MJ13 
viikko __ N __ n21 __ uke __ viikko __ week __ TIME __ MJ13 
yöelämä __ N __ n22odd __ nattliv __ yöelämä __ night life __ ABSTRACT __ MJ13 
aikamasiini __ N __ n22odd __ tidsmaskin __ aikakone __ time machine __ VEHICLE __ MJ14 
aikamatka __ N __ n21 __ tidsreise __ aikamatka __ time travel __ TRAVELLING __ MJ14 
aviisi __ N __ n22odd __ avis __ sanomalehti __ newspaper __ TEXT __ MJ14 
ehđotus __ N __ n41 __ forslag __ ehdotus __ suggestion __ THOUGHT  __ MJ14 
elämä __ N __ n22odd __ liv __ elämä __ life __ ABSTRACT __ MJ14 
huoli __ N __ n21ie __ bekymring __ huoli __ concern __ ABSTRACT __ MJ14 
idee __ N __ n23 __ idé __ idea __ idea __ ABSTRACT __ MJ14 
itä __ N __ n21 __ øst __ itä __ east __ NATURE __ MJ14 
konto __ N __ n21 __ tåke __ sumu __ fog __ WEATHER __ MJ14 
kuva __ N __ n21 __ bilde __ kuva __ picture __ THING __ MJ14 
kysymys __ N __ n41 __ spørsmål __ kysymys __ question __ ABSTRACT __ MJ14 
labyrintti __ N __ n22 __ labyrint __ labyrintti __ labyrinth __ ROOM __ MJ14 
laiva __ N __ n21 __ båt __ vene __ boat __ VEHICLE __ MJ14 
lakki __ N __ n21 __ lue __ lakki __ cap __ CLOTHING __ MJ14 
lappii __ N __ n23ii __ spade __ lapio __ spade __ THING __ MJ14 
masiini __ N __ n22odd __ maskin __ kone __ machine __ TOOL __ MJ14 
materivanhiimet __ N __ nx __ forfedre __ esivanhemmat __ ancestors __ FAMILY __ MJ14 
osa __ N __ n21 __ del, andel __ osa __ part __ ABSTRACT  __ MJ14 
praatti __ N __ n21 __ prat __ keskustelu, puhe __ talk __ LANGUAGE __ MJ14 
praattijoukko __ N __ n21 __ diskusjonsgruppe __ keskusteluryhmä __ discussion group __ PEOPLE __ MJ14 
puhuminen __ N __ n42 __ prat __ puhuminen __ talking __ LANGUAGE, ACTION __ MJ14 
puuro __ N __ n21 __ grøt __ puuro __ porridge __ FOOD_DISH __ MJ14 
ruuttapiili __ N __ n21 __ rutebil __ vuorolinja-auto __ bus, coach __ VEHICLE __ MJ14 
saiti __ N __ n21 __ side __ sivu __ side __ TEXT_OTHER __ MJ14 
sykkeli __ N __ n21 __ sykkel __ pyörä __ cycle __ VEHICLE __ MJ14 
taksi __ N __ n21 __ drosje __ taksi __ taxi __ VEHICLE __ MJ14 
vastaus __ N __ n41 __ svar __ vastaus __ answer __ ACTION __ MJ14 
vehjet __ N __ n33t __ utstyr, greie, innretning  __ vehje __ equipment __ TOOL __ MJ14 
vesta __ N __ n21 __ vest __ länsi __ west __ NATURE __ MJ14 
ystävä __ N __ n22odd __ venn __ ystävä __ friend __ FAMILY __ MJ14 
yöklubi __ N __ n21 __ nattklubb __ yökerho __ night club __ ROOM __ MJ14 
puolele __ Po __ x __ til ens side??? __ puolelle __ to ones side __ MOVEMENT_ADV  __ MJ10 
aivan __ Adv __ x __ aldeles, bare __ aivan, vain __ quite, only __ ABSTRACT_ADV  __ MJ10 
sisälä __ Adv __ x __ inne __ sisällä __ in, inside __ BUILDING_ROOM_ADV  __ MJ10 
varten __ Po __ x __ for __ varten __ for, in favour of __ SOUP_ADV, HUMAN_ADV  __ MJ10 
alapuolela __ Adv __ x __ under __ alapuolella __ under __ BUILDING_ROOM_ADV  __ MJ11 
pörhään __ Po __ x __ etter __ perään __ after __ MOVEMENT_ADV  __ MJ11 
ei koskhaan __ MWE __ x __ aldri __ ei koskaan __ never __ ABSTRACT_ADV  __ MJ11 
kunkas __ Adv __ x __ hvordan, på hvilken måte __ kuinka, miten __ how __ ACTION_ADV, MOVEMENT_ADV __ MJ11 
pareminki __ Adv __ x __ også bedre __ paremminkin __ even better __ PEOPLE_ADV __ MJ11 
täälä __ Adv __ x __ her __ täällä __ here __ BUILDING_ROOM_ADV __ MJ11 
yksin __ Adv __ x __ alene __ yksin __ alone __ PEOPLE_ADV  __ MJ11 
aikana __ Adv __ x __ under, rundt __ aikana, aikoihin __ during __ TIME_ADV __ MJ12 
enniimitten __ Adv __ x __ for det meste __ enimmäkseen __ mostly, mainly __ ABSTRACT_ADV __ MJ12 
illoin __ Adv __ x __ om kveldene __ iltaisin __ in the evenings __ TIME_ADV __ MJ12 
muutoin __ Adv __ x __ ellers __ muuten __ otherwise __ ABSTRACT_ADV __ MJ12 
onneksi __ Adv __ x __ heldigvis __ onneksi __ luckily, fortenately __ ABSTRACT_ADV __ MJ12 
ei tietenkhään __ MWE __ x __ selvsagt ikke __ ei teitenkään __ of course not __ ABSTRACT_ADV __ MJ12 
vaanasti __ Adv __ x __ snaut __ niukasti  __ scantily, poorly __ SOUP_ADV __ MJ12 
vähemän __ Adv __ x __ mindre __ vähemmän __ less __ ABSTRACT_ADV, SOUP_ADV __ MJ12 
vasten __ Po __ x __ mot __ vasten __ towards __ BODY_ADV __ MJ13 
enämen __ Adv __ x __ mer __ enemmän __ more __ ABSTRACT_ADV, SOUP_ADV __ MJ13 
lissää __ Adv __ x __ mer, flere __ lisää __ more, several __ ABSTRACT_ADV, SOUP_ADV __ MJ13 
sillä __ Adv __ x __ derfor __ siksi __ therefore __ ABSTRACT_ADV __ MJ13 
välilä __ Adv __ x __ innimellom, nå og da __ välillä __ in between __ TIME_ADV __ MJ13 
keskelä __ Pr __ x __ midt i, midt på __ keskellä __ in the middle of __ NATURE_ADV, BUILDING_ROOM_ADV __ MJ13 
makka __ Adv __ x __ liksom __ muka, mukamas __ like, as, a sort of __ PEOPLE_ADV __ MJ13 
muuvala __ Adv __ x __ et annet sted __ muualla __ elsewhere __ NATURE_ADV __ MJ13 
tarkasti __ Adv __ x __ nøye, nøyaktig __ tarkasti __ carefully __ PEOPLE_ADV __ MJ13 
tänne __ Adv __ x __ hit __ tänne __ here __ MOVEMENT_ADV __ MJ13 
ei vieläkhään __ MWE __ x __ ikke ennå __ ei vieläkään __ not yet __ TIME_ADV __ MJ13 
hirmuinen __ A __ a42odd __ forferdelig __ hirmuinen __ terrible, awful __ HUMAN_A  __ MJ10 
kylmä __ A __ a21 __ kall __ kylmä __  cold __ WEATHER_A  __ MJ10 
makkee __ A __ a23 __ søt __ makea __ sweet__ SOUP_A  __ MJ10 
tervheelinen __ A __ a42 __ sunn __ terveellinen __ healthy __ SOUP_A   __ MJ10 
hoikkanen __ A __ a42odd __ slank __ hoikka __ slim __ BODY_A  __ MJ11 
huono __ A __ a21 __ dårlig __ huono __ bad __ HUMAN_A, EXPERIENCE_A  __ MJ11 
ihana __ A __ a422odd __ deilig, nydelig __ ihana __ lovely, charming __ HUMAN_A  __ MJ11 
mukava __ A __ a22odd __ trivelig, artig __ mukava __ pleasant, nice __ HUMAN_A __ MJ11 
surulinen __ A __ a42 __ trist, sørgelig __ surullinen __ sad, unhappy __ HUMAN_A __ MJ11 
vaalee __ A __ a23 __ lys __ vaalea __ light __ HUMAN_A  __ MJ11 
ymmyräinen __ A __ a42 __ rund __ pyöreä __ round __ BODYPART_A __ MJ11 
sotahullu __ A __ a21 __ krigsentusiast __ sotahullu __ trigger-happy __ HUMAN_A  __ MJ12 
ystävällinen __ A __ a42odd __ vennlig __ ystävällinen __ kind __ HUMAN_A  __ MJ12 
noppee __ A __ a23 __ snar __ nopea __ quick __ MOVEMENT_A __ MJ13 
onnelinen __ A __ a42 __ lykkelig __ onnellinen __ happy __ HUMAN_A __ MJ13 
rakas __ A __ a33s __ kjær __ rakas __ dear __ HUMAN_A  __ MJ13 
romanttinen __ A __ a42 __ romantisk __ romanttinen __ romantic __ HUMAN_A  __ MJ13 
suomalainen __ A __ a42 __ finsk __ suomalainen __ Finnish __ PEOPLE_A  __ MJ13 
vappaa __ A __ a23 __ fri, ledig __ vapaa __ free __ BUILDING_ROOM_A, ABSTRACT_A __ MJ13 
hoppuinen __ A __ a42odd __ travel, opptatt __ kiireinen __ busy __ HUMAN_A __ MJ14 
merkilinen __ A __ a42odd __ merkelig __ merkillinen, kummallinen __ strange, odd __ ABSTRACT_A __ MJ14 
