ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
гулять;гуля́ть;;;MiP;L15;walk, stroll, party;gå tur, spadsere, feste;gå tur, spasere, feste;;погуля́ть;
да;да;;;MiP;B1;yes;ja;ja;;;
давать;дава́ть;;;MiP;L9;give;give;gi;;да́ть;
даже;да́же;;;MiP;L17;even;endda;til og med;;;
далеко;далеко́;;;MiP;L11;far away;langt væk, fjernt;langt borte;;;
дальше;да́льше;;;MiP;L8;next, further;længere;lengre;;;
Дания;Да́ния;;;MiP;L7;Denmark;Danmark;Danmark;;;
дарить;дари́ть;;;MiP;L11;give a gift;forære;forære;;подари́ть;
датский;да́тский;;;MiP;B8;Danish;dansk;dansk;;;
датчанин;датча́нин;;;MiP;L2;Dane;dansker;danske;;;
датчанка;датча́нка;;;MiP;L2;Dane;dansker;danske;;;
дать;да́ть;;;MiP;L9;give;give;gi;;дава́ть;
дача;да́ча;;;MiP;L4;summerhouse;sommerhus;sommerhus;;;
два;два;;;MiP;L8;two;to;to;;;
дверь;дверь;;;MiP;L2;door;dør;dør;;;
девушка;де́вушка;;;MiP;L6;girl;pige;jente;;;
дедушка;де́душка;;;MiP;B5;grandfather;bedstefar;bestefar;;;
делать;де́лать;;;MiP;L1;do, make;gøre, lave;gjøre, lage;;сде́лать;
дело;де́ло;;;MiP;L4;affair, matter;sag;sak;;;
день;день;;;MiP;L6;day;dag;dag;;;
деньги;де́ньги;;;MiP;L8;money;penge;penger;;;
держать;держа́ть;;;MiP;L16;hold;holde;holde;;;
десерт;десе́рт;;;MiP;L7;dessert;dessert;dessert;;;
детский;де́тский;;;MiP;L13;child-related;børnerelatered;barnerelatert;;;
диалог;диало́г;;;MiP;L1;dialog;dialog;dialog;;;
диван;дива́н;;;MiP;B9;couch, sofa;sofa, divan;sofa,divan;;;
дилер;ди́лер;;;MiP;L9;dealer;forhandler;forhandler;;;
директор;дире́ктор;;;MiP;B4;director;direktør;direktør;;;
дискотека;дискоте́ка;;;MiP;L19;discoteque;diskotek;diskotek;;;
для;для;;;MiP;L7;for;til, bestemt for;til, for;;;
днем;днём;;;MiP;L3;during the day;om dagen;om dagen;;;
добрый;до́брый;;;MiP;L6;nice, kind;god;snill;;;
доволен;дово́лен;;;MiP;L10;satisfied;tilfreds;tilfreds, fornøyd;;;
договариваться;догова́риваться;;;MiP;L20;agree;aftale;avtale;;договори́ться;
договориться;договори́ться;;;MiP;L20;agree;aftale;avtale;;догава́риваться;
документ;докуме́нт;;;MiP;B6;document;dokument;dokument;;;
долго;до́лго;;;MiP;L4;for a long time;længe;lenge;;;
