algâelleeh	alkueläimet
uáinimnervá 	näköhermo
uáinimsajos 	näköalue
uáivičokketähti 	päälakiluu
uálgitähti 	olkaluu
uálutähti 	alaleukaluu
vahtâmietâmiäđušijn 	vartijamehiläinen
vajâldeijeekutkâ 	vaeltajamuurahainen
vielgisristâ 	valkoapila
vielgissellâ 	valkosolu
vielgâdâsamnâseh 	valkuaisaineet
viermicuozzâ	verkkokalvo
viinikuárŋoošaddo 	viiniköynŋs
vildâhiävuš 	villihevonen
vitamin 	vitamiini
viäđŋásâš 	metsäpäästäinen
vorrâjotteemorganismâ 	verenkiertoelimistö
vorrâkolgos 	verineste
vorrâsellâ 	verisolu
vorrâsuonâ 	verisuoni
vorrâčalme 	verihiutale
vuoivâsnjarččâtekki 	pallealihas
vuojâ 	rasva
vuoptâsuonâ 	hiussuoni
vuorâččâs 	varis
vuosâmaadâ 	istukka
vuoččuđ 	halvaantua
vuáhččuđ 	erittyä
vuáttámuš 	kokemus
vyeimitoppim 	voimaote
váimusuonâ 	valtimo
váimusvuovdâ 	ydinontelo
váimutekkikođos 	sydänlihaskudos
vákkátekki 	pohjelihas
vákkátähti 	pohjeluu
válduváimusuonâ 	aortta
várádâh 	vuoristo
várádâhääpi 	vuoristoaavikko
áiccusellâ 	aistinsolu
áŋáldâh	sukanen
ähčinnjuškoo 	hormukkakirppa
äpikäččee 	aavikkojuoksija
äpilume 	aavikoituminen
äpisäggisäplig 	aavikkosiili
ärdeetekki 	hartialihas
čaalaankissá	sapelihammaskissa
šaddodâh	kasvillisuus
šaddosellâ 	kasvisolu
čalmekollááš	mustuainen eli pupilli
čapisjiereeh	mustaherukka
čarviittâh	kouristus
šerisvielgâd	valkea kuulas (oomeen)
čielgioođâ	selkäydin
čielgioođâuáli	selkäydinkanava
čielgitávtágeh	selkärankaiset
čielgitähti	selkärangan nikama
čielgitävtittemeh 	selkärangattomat
šiälgukaunijâš 	välkekauniainen
čiđđâdioksidi	hiilidioksidi
čiđđâdioksidinallii	hiilidioksidipitoinen
čiđđâhydraat	hiilihydraatti
šlajâstâh 	lajike
šlieđâelleeh 	nilviäiset
šohânâs 	sikiö
čoovâr	rusto
čovârskiärru	rustolevy
šovâttemsellâ 	siittiö
šovâttiđ 	siittää
šoŋŋâdâhnubástus 	ilmastonmuutos
čunoikyevdi	hietakyy
čunoikääni 	hietakana
čunoistormâ 	hiekkamyrsky
čunoiääpi 	hiekka-aavikko
čuovjiskiällurääsi 	kissankello
čuovjistarve 	sinitarra
čuožžâmâs 	reisiluu
čuudâ	kurkku
čuálušm	suolisto
čuámáttâstähti 	lapaluu
čuárbbelnuurâs	reisiluu
čuárbbelpiirâs 	lantio
čuárbbeltekki	iso pakaralihas
čuárvikyevdi 	sarvikyy
čuárvitähti	lonkkaluu
čuávjikolgos 	mahaneste
čuávjinvuotâ	raskaus
čuávjiuážih 	vatsalihakset
čuávjuđ	tulla raskaaksi
čuážžumâs 	sääriluu
čäcisäplig 	vesimyyrä
čälleelodde 	sihteerilintu
