aiddo	just x
vealttakeahttá
vearrut
vehá
veháš
vejolaččat
vel
velá
viehka
viidáseappot
viidáset
viidásit
viidát
viimmat
visot
vissa
vuhtii
vulobealde
vulos
vuohkkasit
vuohččan
vuollel
vuollelis
vuollin
vuollái
vuolábealde
vuolábeale
vuolás
vuos
vuosttažettiin x
vuostá
vuostá
vuostálagaid
vuot
vuovdemassii x
vuovdimassii x
vurrolaga
vuđolaččat
váile
vánis
vánit
vára
vári
várra
várra
várrogasat
várrugasat
várás
vávda
áibbas
áiddo
áiggil
áigi
áigá
áinnas
álelassii
álggogeahčen
álggos
álgobáliid
álkibut
álkit
álo
álohii
álot
ándagassii
árabut
árat
árrat
árvalusas
áŋgirit
čakčat
čavga
čađa
čađat
čielga
čoahkis
čoahkkái
čábbát
čálalaččat x
šat
an
bajábealde
bálddas
geahčen
guhkibut
guhkimusat
guoras
gurrii
lossadit
rádjái
stuorimusat
unnibut
bures Interj
dan dihte
duollet dálle
maid Interj
nu ahte
ovdal go
vaikko mii
ái
dat
ge
go
han

