täht|S|letter, star|буква, звезда|Buchstabe, Stern|kirjain, tähti|3
tänav|S|street|улица|Straße|katu|3
töötama|V|to work|работать|arbeiten|työskennellä|3
umbes|Adv|about|примерно, около|etwa, ungefähr|noin, suunnilleen|3
uus|A|new|новый|neu|uusi|3
vabandama|V|to pardon|извиняться|entschuldigen|pyytää anteeksi|3vale|wrong|ложь, неправда|falsch|väärä|3
vald|S|rural municipality|волость|Gemeinde, Bezirk|kunta, maalaiskunta|3
vastama|V|to answer|отвечать|antworten|vastata|3
vastus|S|answer|ответ|Antwort|vastaus|3
õige|Adv|right, correct|правильно, верно|richtig|oikea|3
õige|A|right, correct|правильно, верно|richtig|oikea|3
ümbrik|S|envelope|конверт|Umschlag|kirjekuori|3
ütlema|V|to say|сказать|sagen|sanoa|3
abielus|A|married|женат|verheiratet|naimisissa|4
ainsus|S|singular|единственное число|Singular|yksikkö, singulaari|4
armastus|S|love|любовь|Liebe|rakkaus|4
arvama|V|to think|думать, считать|denken, meinen|ajatella, luulla|4
auto|S|car|машина|Auto|auto|4
eriti|Adv|especially|особенно|besonders|erittäin|4
hall|S|grey|серый|grau|harmaa|4
hall|A|grey|серый|grau|harmaa|4
hele|A|light|светлый|hell|vaalea|4
istuma|V|to sit|сидеть|sitzen|istua|4
jalgade peal|MWE|on one’s feet|на ногах|auf den Beinen|jaloilleen|4
jalgratas|S|bicycle, bike|велосипед|Fahrrad|polkupyörä|4
jälle|Adv|again|опять|wieder, nochmals|taas, jälleen|4
järv|S|lake|озеро|See|järvi|4
kass|S|cat|кот, кошка|Katze|kissa|4|ANIMAL_PET
kellel on?|MWE|who has?|у кого есть?|wer hat?|kenellä on?|4
kellele meeldib?|MWE|who likes?|кому нравится?|wer mag? wem gefällt?|kuka pitää?|4
koer|S|dog|собака|Hund|koira|4|ANIMAL_PET
kollane|A|yellow|жёлтый|gelb|keltainen|4
kott|S|bag|сумка, мешок|Tasche, Tüte, Beutel|kassi, laukku|4
kõndima|V|to walk|ходить, шагать|spazieren, zu Fuß gehen|kävellä|4
küll|Adv|indeed|да|tatsächlich, doch|kyllä, -pas, -päs|4
laps|S|child|ребёнок|Kind|lapsi|4|FAMILY
laud|S|table|стол|Tisch|pöytä|4
lill|S|flower|цветок|Blume|kukka|4
loom|S|animal|зверь|Tier|eläin|4
luuletus|S|poem|стихотворение|Gedicht|runo|4
lühike|A|short|короткий|kurz|lyhyt|4
meeldima|V|to like|нравиться|mögen|pitää, tykätä|4
mees|S|man, husband|мужчина, муж|Mann|mies, aviomies|4|FAMILY
minul on|MWE|I have|у меня есть|ich habe|minulla on|4
mul on|MWE|I have|у меня есть|ich habe|minulla on|4
minule meeldib|MWE|I like|мне нравится|ich mag|minä pidän|4
mulle meeldib|MWE|I like|мне нравится|ich mag|minä pidän|4
mis|Pron
mitte eriti|MWE|not especially|не особенно|nicht besonders|ei erityisesti|4
mitmus|S|plural|множественное число|Plural|monikko, pluraali|4
mitu|Pron|several|несколько|mehrere|moni|4
mitu|Pron|several|несколько|mehrere|moni|4
muretsema|V|to worry|волноваться|sich sorgen|murehtia|4
must|A|black, dirty|чёрный, грязный|schwarz, schmutzig|musta|4
naine|S|woman, wife|женщина, жена|Frau|nainen, aviovaimo|4|FAMILY
nimetav|A|nominative|кто? что?|Nominativ|nominatiivi|4
omastav|A|genitive|кого? чего? чей?|Genitiv|genitiivi|4osastav|partitive|кого? что? чего?|Partitiv|partitiivi|4
pastakas|S|pen|шариковая ручка|Stift|kuulakärkikynä|4
peal|Adv|on|на|auf|päällä|4
pere|S|family|семья|Familie|perhe|4
pikk|A|long, tall|длинный, высокий|lang|pitkä|4
pliiats|S|pencil|карандаш|Bleistift|lyijykynä|4
poeg|S|son|сын|Sohn|poika|4|FAMILY
ei ole|MWE
pruun|A|brown|коричневый|braun|ruskea|4
punane|A|red|красный|rot|punainen|4
puu|S|tree, wood|дерево|Baum, Holz|puu|4
raamat|S|book|книга|Buch|kirja|4
roheline|A|green|зеленый|grün|vihreä|4
saba|S|tail|хвост|Schwanz|häntä|4
seisma|V|to stand|стоять|stehen|seisoa|4
sinine|A|blue|синий|blau|sininen|4
sõber|S|friend|друг|Freund|ystävä|4
sõbralik|A|friendly|дружелюбный|freundlich|ystävällinen|4
teine|Pron|other, another, second|второй, другой|anderer, zweiter|toinen|4
tool|S|chair|стул|Stuhl|tuoli|4
tume|A|dark|тёмный|dunkel|tumma|4
töö|S|work|работа|Arbeit|työ|4
tütar|S|daughter|дочь|Tochter|tytär|4|FAMILY
vaatama|V|to look at, watch|смотреть|schauen, anschauen|katsoa|4
valge|S|white|белый|weiß|valkoinen|4
valge|A|white|белый|weiß|valkoinen|4
vari|S|shadow|тень|Schatten|varjo|4
vend|S|brother|брат|Bruder|veli|4|FAMILY
vihik|S|notebook|тетрадь|Heft|vihko|4
või|J|or|или|oder|tai|4
värv|S|color|цвет|Farbe|väri|4
õde|S|sister|сестра|Schwester|sisko|4|FAMILY
ära|Adv|don’t, don't...!|не|nicht… !|älä|4
ärge|Adv|don’t, don't...!|не|nicht… !|älkää|4
aasta|S|year|год|Jahr|vuosi|5|5
algama|V|to start, to begin|начинаться|anfangen|alkaa|5
aken|S|window|окно|Fenster|ikkuna|5
asendama|V|to substitute|заменять|ersetzen|korvata|5
buss|S|bus|автобус|Bus|linja-auto, bussi|5
bussijaam|S|bus station|автовокзал|Busbahnhof|linja-autoasema|5
eile|Adv|yesterday|вчера|gestern|eilen|5
eramaja|S|private house|частный дом|Familienhaus|omakotitalo|5
esmaspäev|Aprefix&päevS|Monday|понедельник|Montag|maanantai|5
halb|A|bad|плохой|schlecht|huono|5
hetk|S|moment|момент, мгновение|Moment|hetki|5
hiljaks jääma|MWE|to be late|опаздывать|sich verspäten|myöhästyä|5
ilm|S|weather|погода|Wetter|sää, ilma|5
järgmine|A|next|следующий|nächste, nächster, nächstes|seuraava|5
kassa|S|cash register|касса|Kasse|lippukassa|5
kaua|Adv|long time|долго|lange|kauan|5
