tal on|he has, she has|у него|er hat, sie hat, es hat|hänellä on|3
talle|to him, to her|ему|ihm, ihr|hänelle|3
tavaline|regular, usual|обычный|üblich, gewöhnlich|tavallinen|3
teadma|to know|знать|wissen|tietää|3
tee|road|дорога|Weg|tie|3
telefon|telephone|телефон|Telefon|puhelin|3
tuhat|thousand|тысяча|Tausend|tuhat|3
täht|letter, star|буква, звезда|Buchstabe, Stern|kirjain, tähti|3
tänav|street|улица|Straße|katu|3
töötama|to work|работать|arbeiten|työskennellä|3
umbes|about|примерно, около|etwa, ungefähr|noin, suunnilleen|3
uus|new|новый|neu|uusi|3
vabandama|to pardon|извиняться|entschuldigen|pyytää anteeksi|3vale|wrong|ложь, неправда|falsch|väärä|3
vald|rural municipality|волость|Gemeinde, Bezirk|kunta, maalaiskunta|3
vana|old|старый, старинный|alt|vanha|3
vastama|to answer|отвечать|antworten|vastata|3
vastus|answer|ответ|Antwort|vastaus|3
väike|little, small|маленький|klein|pieni|3
õige|right, correct|правильно, верно|richtig|oikea|3
öelge!|tell me|скажите|sagen Sie! sagt!|kerro minulle!|3
ümbrik|envelope|конверт|Umschlag|kirjekuori|3
ütlema|to say|сказать|sagen|sanoa|3
abielus|married|женат|verheiratet|naimisissa|4
ainsus|singular|единственное число|Singular|yksikkö, singulaari|4
armastus|love|любовь|Liebe|rakkaus|4
arvama|to think|думать, считать|denken, meinen|ajatella, luulla|4
auto|car|машина|Auto|auto|4
eriti|especially|особенно|besonders|erittäin|4
et|that|что|dass|että|4
hall|grey|серый|grau|harmaa|4
hele|light|светлый|hell|vaalea|4
istuma|to sit|сидеть|sitzen|istua|4
jalgade peal|on one’s feet|на ногах|auf den Beinen|jaloilleen|4
jalgratas|велосипед|Fahrrad|polkupyörä|4
jälle|again|опять|wieder, nochmals|taas, jälleen|4
järv|lake|озеро|See|järvi|4
kass|cat|кот, кошка|Katze|kissa|4
keda?|whom?|кого?|wen?|kenet?|4
kelle?|whose?|чей? чья? чьё?|wessen? wem?|kenen?|4
kellel on?|who has?|у кого есть?|wer hat?|kenellä on?|4
kellele meeldib?|who likes?|кому нравится?|wer mag? wem gefällt?|kuka pitää?|4
koer|dog|собака|Hund|koira|4
kollane|yellow|жёлтый|gelb|keltainen|4
kott|bag|сумка, мешок|Tasche, Tüte, Beutel|kassi, laukku|4
kõndima|to walk|ходить, шагать|spazieren, zu Fuß gehen|kävellä|4
küll|indeed|да|tatsächlich, doch|kyllä, -pas, -päs|4
laps|child|ребёнок|Kind|lapsi|4
laud|table|стол|Tisch|pöytä|4
lill|flower|цветок|Blume|kukka|4
loom|animal|зверь|Tier|eläin|4
luuletus|poem|стихотворение|Gedicht|runo|4
lühike|short|короткий|kurz|lyhyt|4
meeldima|to like|нравиться|mögen|pitää, tykätä|4
mees|man, husband|мужчина, муж|Mann|mies, aviomies|4
mida?|what?|что?|was?|mitä?|4
mille?|of what?|чего?|wovon?|minkä?|4
minul on|I have|у меня есть|ich habe|minulla on|4
mul on|I have|у меня есть|ich habe|minulla on|4
minule meeldib|I like|мне нравится|ich mag|minä pidän|4
mulle meeldib|I like|мне нравится|ich mag|minä pidän|4
mis?|what?|что?|was?|mikä|4
mitte eriti|not especially|не особенно|nicht besonders|ei erityisesti|4
mitmus|plural|множественное число|Plural|monikko, pluraali|4
mitu|several|несколько|mehrere|moni|4
mitu?|how many?|сколько?|wieviel? wie viel? wie viele?|kuinka monta?|4
muretsema|to worry|волноваться|sich sorgen|murehtia|4
must|black, dirty|чёрный, грязный|schwarz, schmutzig|musta|4
naine|woman, wife|женщина, жена|Frau|nainen, aviovaimo|4
need|they, these|эти|diese|nämä, ne|4
nimetav|nominative|кто? что?|Nominativ|nominatiivi|4
omastav|genitive|кого? чего? чей?|Genitiv|genitiivi|4osastav|partitive|кого? что? чего?|Partitiv|partitiivi|4
pastakas|pen|шариковая ручка|Stift|kuulakärkikynä|4
peal|on|на|auf|päällä|4
pere|family|семья|Familie|perhe|4
pikk|long, tall|длинный, высокий|lang|pitkä|4
pliiats|pencil|карандаш|Bleistift|lyijykynä|4
poeg|son|сын|Sohn|poika|4
pole|am not, is not, has not, have not|нет|nicht, ist nicht|ei ole|4
ei ole|am not, is not, has not, have not|нет|nicht, ist nicht|ei ole|4
pruun|brown|коричневый|braun|ruskea|4
punane|red|красный|rot|punainen|4
puu|tree, wood|дерево|Baum, Holz|puu|4
raamat|book|книга|Buch|kirja|4
roheline|green|зеленый|grün|vihreä|4
saba|tail|хвост|Schwanz|häntä|4
seisma|to stand|стоять|stehen|seisoa|4
sinine|blue|синий|blau|sininen|4
sõber|friend|друг|Freund|ystävä|4
sõbralik|friendly|дружелюбный|freundlich|ystävällinen|4
teine|other, another, second|второй, другой|anderer, zweiter|toinen|4
tool|chair|стул|Stuhl|tuoli|4
tume|dark|тёмный|dunkel|tumma|4
töö|work|работа|Arbeit|työ|4
tütar|daughter|дочь|Tochter|tytär|4
vaatama|to look at, watch|смотреть|schauen, anschauen|katsoa|4
valge|white|белый|weiß|valkoinen|4
vari|shadow|тень|Schatten|varjo|4
vend|brother|брат|Bruder|veli|4
vihik|notebook|тетрадь|Heft|vihko|4
või|or|или|oder|tai|4
värv|color|цвет|Farbe|väri|4
õde|sister|сестра|Schwester|sisko|4
ära|don’t, don't...!|не|nicht… !|älä|4
ärge|don’t, don't...!|не|nicht… !|älkää|4
aasta|year|год|Jahr|vuosi|5|5
algama|to start, to begin|начинаться|anfangen|alkaa|5
aken|window|окно|Fenster|ikkuna|5
asendama|to substitute|заменять|ersetzen|korvata|5
buss|bus|автобус|Bus|linja-auto, bussi|5
bussijaam|bus station|автовокзал|Busbahnhof|linja-autoasema|5
eile|yesterday|вчера|gestern|eilen|5
eramaja|private house|частный дом|Familienhaus|omakotitalo|5
esmaspäev|Monday|понедельник|Montag|maanantai|5
halb|bad|плохой|schlecht|huono|5
hetk|moment|момент, мгновение|Moment|hetki|5
hiljaks jääma|to be late|опаздывать|sich verspäten|myöhästyä|5
ilm|weather|погода|Wetter|sää, ilma|5
järgmine|next|следующий|nächste, nächster, nächstes|seuraava|5
kassa|cash register|касса|Kasse|lippukassa|5
kaua|long time|долго|lange|kauan|5
kell|clock|час, часы|Uhr|kello|5
kellega?|with whom?|с кем?|mit wem?|kenen kanssa|5
kiiresti|quickly|быстро|schnell|nopeasti|5
kohe|immediately|сразу|sofort|heti, kohta|5
kolmapäev|Wednesday|среда|Mittwoch|keskiviikko|5
